age,sex,total_mean,total_lower_p95,total_upper_p95
42,Male,0.0930773585055474,0.0662209566840579,0.1272498470200918
43,Both,0.10255791937272771,0.07371156081127059,0.1377491901082371
43,Female,0.103727176736385,0.07210262758960129,0.1432620818330063
43,Male,0.10182230388607291,0.0721874589034179,0.1393755588761704
44,Both,0.11127705768523691,0.0791662573680914,0.1508165560623374
44,Female,0.1124001168697112,0.0774884405553161,0.15619110716936427
44,Male,0.11063333657889429,0.0775211928460278,0.15235454222396297
45,Both,0.1201143988360049,0.0842249546119343,0.16461213355092238
45,Female,0.12112838045091709,0.08222453736101021,0.17015223449326908
45,Male,0.119623342547645,0.082523528459578,0.1665203435002613
46,Both,0.1290198800793457,0.0934287967238567,0.1721506924985107
46,Female,0.1299148750243141,0.09104539870661009,0.1784262713142777
46,Male,0.128669281612805,0.09186902388663659,0.1746793616914031
47,Both,0.1379221555510726,0.10165863101635571,0.18143358494095307
47,Female,0.1386693740883771,0.0985807211858374,0.18818670879169733
47,Male,0.1377646856358019,0.100016987252849,0.18463781589890638
48,Both,0.1470423753562471,0.1086054454978592,0.1928551823984793
48,Female,0.1476710960139272,0.10506414688655559,0.20049555008001183
48,Male,0.147063895586356,0.1068621324653094,0.1968141660592373
49,Both,0.1561857628668992,0.11441324322262651,0.20670502881396632
49,Female,0.1567628423388639,0.1109188026792477,0.2142864021223951
49,Male,0.1563309280806906,0.11278723331963789,0.21029126737697074
50,Both,0.16541015209947782,0.1193377810332421,0.221690648602829
50,Female,0.165979063058651,0.11593057378735379,0.2292875109830064
50,Male,0.1656309866394467,0.11784561700519701,0.22598372028071428
51,Both,0.17531685916942188,0.1310972417732173,0.22895295076679148
51,Female,0.1758057060030089,0.1266114943405901,0.2380763459880273
51,Male,0.17565379560631258,0.1298107085619533,0.2336102080694363
52,Both,0.1849427074205428,0.1410669392712374,0.2382639713542756
52,Female,0.18530255629467407,0.135509871684655,0.24822019068507953
52,Male,0.18543034971368452,0.13938838824955288,0.24298587369902738
53,Both,0.19475622871477422,0.14930592355028569,0.2502913222987742
53,Female,0.1949750494613497,0.1434474149761062,0.2605202794445781
53,Male,0.1953935550970291,0.14742034467723508,0.2553594569705953
54,Both,0.20485753942487464,0.1561896496773035,0.2646845776389788
54,Female,0.20497015273147934,0.1499325495470093,0.2752593375442352
