original_row_id,location_name,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,x_sdi,x_tob,Patients with AMD,split_stage,data_type,upper_ci,lower_ci
84,Norway,90,Early to intermediate,2,Both,3,2002,81,90,47,0.574468085106383,0.0721190658977913,European ancestry,0.856757888,0.304748333,18.12685263041404,Early,p,,
104,Norway,90,Early to intermediate,2,Female,2,2009,65,69,603,0.5671641791044776,0.0201770345884815,European ancestry,0.876582817,0.187757666,247.2747354974692,Early,p,,
105,Norway,90,Early to intermediate,2,Female,2,2009,70,74,398,0.6206030150753769,0.0243227313058733,European ancestry,0.876582817,0.187757666,175.6912051284727,Early,p,,
106,Norway,90,Early to intermediate,2,Female,2,2009,75,79,288,0.6215277777777778,0.0285792635117907,European ancestry,0.876582817,0.187757666,126.03397315751567,Early,p,,
107,Norway,90,Early to intermediate,2,Female,2,2009,80,87,175,0.6742857142857143,0.0354259380193115,European ancestry,0.876582817,0.187757666,82.49991540489562,Early,p,,
108,Norway,90,Early to intermediate,2,Male,1,2009,65,69,365,0.5178082191780822,0.0261545913793041,European ancestry,0.876582817,0.244414529,127.16432039253723,Early,p,,
109,Norway,90,Early to intermediate,2,Male,1,2009,70,74,365,0.5506849315068493,0.0260363832746085,European ancestry,0.876582817,0.244414529,132.67925768537404,Early,p,,
110,Norway,90,Early to intermediate,2,Male,1,2009,75,79,234,0.6452991452991453,0.0312754619945338,European ancestry,0.876582817,0.244414529,98.5030657355964,Early,p,,
111,Norway,90,Early to intermediate,2,Male,1,2009,80,87,111,0.6306306306306306,0.0458095979499245,European ancestry,0.876582817,0.244414529,45.29943894136065,Early,p,,
120,United Kingdom,95,Early to intermediate,2,Both,3,2005,39,45,245,0.0163265306122449,0.0080963521668617,European ancestry,0.804489194,0.267998468,1.782196560324194,Early,p,,
121,United Kingdom,95,Early to intermediate,2,Both,3,2005,46,52,165,0.0181818181818181,0.0104014100644973,European ancestry,0.804489194,0.267998468,1.9111246000580608,Early,p,,
122,United Kingdom,95,Early to intermediate,2,Both,3,2005,53,59,15,0.0,0.0,European ancestry,0.804489194,0.267998468,0.01,Early,p,,
123,Germany,81,Early to intermediate,2,Both,3,2010,90,92,89,0.3370786516853932,0.050107371709043,European ancestry,0.87794671,0.286391016,20.07585955014525,Early,p,,
124,Germany,81,Early to intermediate,2,Both,3,2010,93,100,66,0.2727272727272727,0.0548202444686842,European ancestry,0.87794671,0.286391016,12.03048802795642,Early,p,,
