area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Iceland,83,Late-wet,6,Male,1,1996,80,95,28.0,0.0714285714285714,0.0486703674192319,0.78535642,0.288081062,p,,,
Iceland,83,Late-wet,6,Female,2,1996,80,95,26.0,0.1153846153846153,0.0626562680016194,0.78535642,0.271188707,p,,,
Lithuania,60,Late-wet,6,Both,3,2001,35,64,1357.0,0.0,0.0,0.727133585,0.2869385,p,,,
United States of America,102,Late-wet,6,Male,1,2004,40,49,957.0,0.0,0.0,0.805304692,0.255691086,p,,,
United States of America,102,Late-wet,6,Female,2,2004,40,49,1339.0,0.0,0.0,0.805304692,0.205929313,p,,,
United States of America,102,Late-wet,6,Male,1,2004,50,59,739.0,0.0040595399188092,0.0023390142998857,0.805304692,0.255691086,p,,,
United States of America,102,Late-wet,6,Female,2,2004,50,59,1055.0,0.0,0.0,0.805304692,0.205929313,p,,,
United States of America,102,Late-wet,6,Male,1,2004,60,69,470.0,0.002127659574468,0.002125394901581,0.805304692,0.255691086,p,,,
United States of America,102,Late-wet,6,Female,2,2004,60,69,665.0,0.0015037593984962,0.0015026283269571,0.805304692,0.205929313,p,,,
United States of America,102,Late-wet,6,Male,1,2004,70,79,236.0,0.0127118644067796,0.0072924016963105,0.805304692,0.255691086,p,,,
United States of America,102,Late-wet,6,Female,2,2004,70,79,296.0,0.0033783783783783,0.0033726668301206,0.805304692,0.205929313,p,,,
United States of America,102,Late-wet,6,Male,1,2004,80,95,45.0,0.0222222222222222,0.0219739214432464,0.805304692,0.255691086,p,,,
United States of America,102,Late-wet,6,Female,2,2004,80,95,73.0,0.0958904109589041,0.0344617000123358,0.805304692,0.205929313,p,,,
China,6,Late-wet,6,Both,3,2002,50,95,341.0,0.0185728250244379,0.0073112365204268,0.560542936,0.279868805,p,,,
Greece,82,Late-wet,6,Male,1,2000,60,64,161.0,0.0,0.0,0.73271054,0.502183354,p,,,
Greece,82,Late-wet,6,Female,2,2000,60,64,150.0,0.0066666666666666,0.0066444072834338,0.73271054,0.34892867,p,,,
Greece,82,Late-wet,6,Male,1,2000,65,69,486.0,0.0061728395061728,0.0035528738609785,0.73271054,0.502183354,p,,,
Greece,82,Late-wet,6,Female,2,2000,65,69,408.0,0.0098039215686274,0.0048778723791539,0.73271054,0.34892867,p,,,
Greece,82,Late-wet,6,Male,1,2000,70,74,388.0,0.0,0.0,0.73271054,0.502183354,p,,,
Greece,82,Late-wet,6,Female,2,2000,70,74,306.0,0.0065359477124183,0.0046064848790494,0.73271054,0.34892867,p,,,
Greece,82,Late-wet,6,Male,1,2000,75,79,180.0,0.0111111111111111,0.0078129715221218,0.73271054,0.502183354,p,,,
Greece,82,Late-wet,6,Female,2,2000,75,79,198.0,0.0151515151515151,0.0086812077140445,0.73271054,0.34892867,p,,,
Greece,82,Late-wet,6,Male,1,2000,80,95,137.0,0.0583941605839416,0.0200335999865405,0.73271054,0.502183354,p,,,
