region,mean_prev
Armenia,0.006730468384971059
Azerbaijan,0.004203651736521295
Georgia,0.008381482182478498
Kazakhstan,0.004904033614545119
Kyrgyzstan,0.004419849116212537
Mongolia,0.0035523757247787674
Tajikistan,0.0032778135980115796
Turkmenistan,0.004404748141804627
Uzbekistan,0.0032435497129971857
Albania,0.007598633819023696
Bosnia and Herzegovina,0.007571505412075051
Bulgaria,0.00877244419770843
Croatia,0.009037456723499745
Czechia,0.008506249434784454
Hungary,0.008693394023752809
Montenegro,0.007130028121854826
North Macedonia,0.006178195719674504
Poland,0.008008264878157274
Romania,0.008549953060825987
Serbia,0.008001035893782139
Slovakia,0.0068237284696028135
Slovenia,0.009190655293024819
Belarus,0.007890139446162374
Estonia,0.01095348751403119
Latvia,0.010052155848030465
Lithuania,0.009749343558007299
Republic of Moldova,0.007311755250129346
Russian Federation,0.007986029258448426
Ukraine,0.007963569258239997
Australia,0.007511684343288559
New Zealand,0.007892805891890821
Brunei Darussalam,0.00223188000411287
Japan,0.006630414574482302
Republic of Korea,0.00417319523757052
Singapore,0.003986100352358118
Canada,0.008745393893544869
Greenland,0.0055562000658082485
United States of America,0.009696809274959441
Argentina,0.006072565425361624
Chile,0.006044337264786413
Uruguay,0.007670322617576122
Andorra,0.006221460743795984
Austria,0.007932492300160772
Belgium,0.008232028370843775
Cyprus,0.005648274066054976
Denmark,0.013869161411303569
Finland,0.009548064587362182
France,0.007898229986616429
Germany,0.008983197455112998
Greece,0.007555094903887125
Iceland,0.007953289626627589
Ireland,0.005115094035042764
Israel,0.006366802296072827
Italy,0.011586710977141488
Luxembourg,0.006533548127532032
Malta,0.007938248668348113
Monaco,0.009405664177770333
Netherlands,0.006937407816033895
Norway,0.009008349725078017
Portugal,0.005342525673431911
San Marino,0.008068362867511369
Spain,0.009229289107865102
Sweden,0.008508659684254582
Switzerland,0.007844743252116707
United Kingdom,0.007443836526740338
Bolivia (Plurinational State of),0.0049925821439806535
Ecuador,0.005631939283412958
Peru,0.006093862504331833
Antigua and Barbuda,0.005946138012022737
Bahamas,0.005557683600895731
Barbados,0.008461316193904257
Belize,0.0048077824093923135
Bermuda,0.00932857847205505
Cuba,0.008439299060387965
Dominica,0.007624727929308289
Dominican Republic,0.005690725558721152
Grenada,0.006046411555431756
Guyana,0.0050992299834412905
Haiti,0.0039810867409865265
Jamaica,0.006964745369291606
Puerto Rico,0.010481729755893298
Saint Kitts and Nevis,0.005301362588625889
Saint Lucia,0.006572948479821531
Saint Vincent and the Grenadines,0.006639008765153772
Suriname,0.0061087252742737675
Trinidad and Tobago,0.006761196672489373
United States Virgin Islands,0.008491399108040172
Colombia,0.006749498556259482
Costa Rica,0.00629402208392553
El Salvador,0.006800818781031195
Guatemala,0.004929666033384058
Honduras,0.004658950670553346
Mexico,0.00565220953050022
Nicaragua,0.004562188737477841
Panama,0.006467086893947765
Venezuela (Bolivarian Republic of),0.00584663717867357
Brazil,0.005873220824689001
Paraguay,0.005299948166991051
Afghanistan,0.004485078661288299
Algeria,0.008932904375444622
Bahrain,0.0037147689244475786
Egypt,0.005490505587016317
Iran (Islamic Republic of),0.005511050940069065
Iraq,0.0053150125036400325
Jordan,0.005106144569324813
Kuwait,0.0038671281083570283
Lebanon,0.008255000897706241
Libya,0.0056288958540594925
Morocco,0.006594339784460792
Oman,0.002777665898811046
Palestine,0.005179817635725487
Qatar,0.002262837382663495
Saudi Arabia,0.00325752447712715
Sudan,0.0052373925786316075
Syrian Arab Republic,0.006701353400774187
Tunisia,0.0076901699741462526
Türkiye,0.007830396823772994
United Arab Emirates,0.00209097359089711
Yemen,0.004726315520863719
Bangladesh,0.004924078802646668
Bhutan,0.004442798656510657
India,0.005077704768058806
Nepal,0.004177270400931105
Pakistan,0.003670333982650599
China,0.007691620261382728
Democratic People's Republic of Korea,0.00761659307276425
Taiwan (Province of China),0.012874350831320566
American Samoa,0.005748425353056608
Cook Islands,0.007817659400212642
Fiji,0.004665362301294678
Guam,0.0070045386550375635
Kiribati,0.003768775061200471
Marshall Islands,0.0035952242727628867
Micronesia (Federated States of),0.0042466067326479996
Nauru,0.002624740644104314
Niue,0.007581961818252353
Northern Mariana Islands,0.005603331417955301
Palau,0.005030783996924151
Papua New Guinea,0.0034751495893456568
Samoa,0.005320183203978139
Solomon Islands,0.003415303009932422
Tokelau,0.006353398076338504
Tonga,0.006231540090933835
Tuvalu,0.00558644457994046
Vanuatu,0.004494500052083554
Cambodia,0.004163869552427084
Indonesia,0.0040683326953858566
Lao People's Democratic Republic,0.0037226087796446558
Malaysia,0.004506581277240301
Maldives,0.003081653618631533
Mauritius,0.0060595339312103005
Myanmar,0.004556977586447501
Philippines,0.004174599139282237
Seychelles,0.004976475504919853
Sri Lanka,0.00615037898888812
Thailand,0.00489538186828606
Timor-Leste,0.0046317019636823225
Viet Nam,0.0046122292681771634
Angola,0.003232305840779811
Central African Republic,0.003138163659518963
Congo,0.003391505498607948
Democratic Republic of the Congo,0.0034792963764322237
Equatorial Guinea,0.003195258819577856
Gabon,0.004076126414942941
Burundi,0.0033149733612250873
Comoros,0.004682287103558382
Djibouti,0.003041442077028989
Eritrea,0.0030297759057603514
Ethiopia,0.0036280622737548058
Kenya,0.003366445362352457
Madagascar,0.0032089461378794564
Malawi,0.003606457727783356
Mozambique,0.0035655801758371288
Rwanda,0.0035506689833186486
Somalia,0.002967689062227464
South Sudan,0.0036395892572824895
Uganda,0.0035032113993413907
United Republic of Tanzania,0.0038509918863333264
Zambia,0.0032362457032051786
Botswana,0.0034509688161918827
Eswatini,0.0036629226606263955
Lesotho,0.003925153252552829
Namibia,0.004330450261012587
South Africa,0.004660738079647488
Zimbabwe,0.0036268016048607533
Benin,0.0037239226826325453
Burkina Faso,0.0036954856185909633
Cabo Verde,0.005053540489166825
Cameroon,0.003474707862856324
Chad,0.0037420379351789405
Côte d'Ivoire,0.0031798190914014996
Gambia,0.0039418560421868925
Ghana,0.003742548675613169
Guinea,0.004179493551021457
Guinea-Bissau,0.0032085131742065893
Liberia,0.0034441688333811745
Mali,0.003953034378033091
Mauritania,0.004459218501918718
Niger,0.0036534637230463602
Nigeria,0.0037178402620209787
Sao Tome and Principe,0.003842856524631549
Senegal,0.004216455044608251
Sierra Leone,0.0037945161819654197
Togo,0.0034567538950297473
