location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob
Netherlands,89,Intermediate,5,Female,2,1990,75,84,1505.0,0.08704318936877077,0.007266483040846676,0.794612123,0.383810069
Netherlands,89,Intermediate,5,Male,1,1990,85,98,191.0,0.20418848167539266,0.029167825064390064,0.794612123,0.4341561
Netherlands,89,Intermediate,5,Female,2,1990,85,98,815.0,0.1374233128834356,0.012060082000737458,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,55,64,1418.0,0.0007052186177715092,0.0007049699072655301,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,55,64,1802.0,0.0011098779134295228,0.0007843665606518515,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,65,74,1382.0,0.002894356005788712,0.001445082161095286,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,65,74,1865.0,0.00482573726541555,0.0016046931045920663,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,75,84,796.0,0.02386934673366834,0.0054102546661858025,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,75,84,1505.0,0.023920265780730896,0.0039387407692875525,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,85,98,191.0,0.06806282722513089,0.018223493089800157,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,85,98,815.0,0.07484662576687116,0.009217521883157359,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,55,64,1418.0,0.0021156558533145277,0.001220181682472075,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,55,64,1802.0,0.0,0.0,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,65,74,1382.0,0.005788712011577424,0.0020406865180964706,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,65,74,1865.0,0.0021447721179624667,0.0010712354298312416,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,75,84,796.0,0.011306532663316583,0.0037474773730296583,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,75,84,1505.0,0.013953488372093023,0.0030235826733012667,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,85,98,191.0,0.02617801047120419,0.011552910886104452,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,85,98,815.0,0.04049079754601227,0.006904368036819366,0.794612123,0.383810069
Netherlands,89,Early,4,Both,3,1990,55,64,3220.0,0.36118012422360246,0.008464926580623694,0.794612123,0.407778835
Netherlands,89,Early,4,Both,3,1990,65,74,3247.0,0.4619648906683092,0.008749206140381442,0.794612123,0.407778835
Netherlands,89,Early,4,Both,3,1990,75,84,2301.0,0.4671881790525858,0.010400986656430989,0.794612123,0.407778835
Netherlands,89,Early,4,Both,3,1990,85,98,1006.0,0.3727634194831014,0.015245207589654424,0.794612123,0.407778835
Netherlands,89,Intermediate,5,Male,1,1990,55,64,1418.0,0.04090267983074753,0.0052597984734444785,0.794612123,0.4341561
Netherlands,89,Intermediate,5,Female,2,1990,55,64,1802.0,0.033851276359600446,0.004260220943895125,0.794612123,0.383810069
