var,mean,lower_95,upper_95
beta_p_x_sex,-0.007612380979505865,-0.026193212244012113,0.010352138053324831
beta_p_x_lpa,0.012038965040520199,0.0004336875526949609,0.037602886715869144
beta_p_x_sev,0.04340511566758132,0.004760715618979415,0.09354997443775373
beta_p_x_sdi,0.0,0.0,0.0
beta_p[0],0.012038965040520199,0.0004336875526949609,0.037602886715869144
beta_p[1],0.0,0.0,0.0
beta_p[2],0.04340511566758132,0.004760715618979415,0.09354997443775373
beta_p[3],-0.007612380979505865,-0.026193212244012113,0.010352138053324831
