age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.814335570940576e-07,2.0258528817286246e-14,1.4569425519033599e-06
41,0.0005005531990482498,0.0003693160648528909,0.0006641582076717731
42,0.0010008249645393928,0.0007384530697072064,0.0013274288201367197
43,0.001501096730030544,0.0011073187598350052,0.0019911432296813793
44,0.0020013684955216887,0.001476229957668911,0.0026548576392260385
45,0.0025016402610127425,0.001845175130538393,0.003318572048770698
46,0.002713087501562359,0.002039569302981503,0.003544105603048158
47,0.002924534742111965,0.0022130926202874944,0.003804072466197982
48,0.0031359819826614734,0.0023646729500981967,0.004093561017875708
49,0.003347429223211005,0.0024990844097297427,0.004415019842697661
50,0.0035588764637607254,0.002625080950623212,0.004763668343753311
51,0.003857620279124348,0.0029078097827727307,0.005053268487501855
52,0.004156364094488148,0.0031507602612436585,0.0054132884762131414
53,0.004455107909851892,0.0033722828791187907,0.0058069015913482375
54,0.004753851725215741,0.003569027721056506,0.0062360326759150235
55,0.005052595540579594,0.0037436996025526407,0.006691814791201837
56,0.005504983078243541,0.004172926380175908,0.007152525059699122
57,0.0059573706159071465,0.004540941215659516,0.007692941181760849
58,0.0064097581535710844,0.004859500977940121,0.008299397591213642
59,0.006862145691234731,0.005154046524074302,0.0089415645370838
60,0.007314533228898897,0.005414117858610227,0.009629148927942343
61,0.008003390524460776,0.006086705312095858,0.010302978673864042
62,0.008692247820022097,0.00670158907693505,0.011118244037508076
63,0.009381105115584217,0.007228156029750408,0.012013762132088409
64,0.01006996241114595,0.007702662162199936,0.012988868403082233
65,0.010758819706707844,0.008144241197910726,0.014012875536154526
66,0.011796187844878079,0.00913252791910692,0.015074645028428944
67,0.012833555983047836,0.010001879522338109,0.01629334239306367
68,0.013870924121218195,0.010762157080084649,0.01768491989614216
69,0.014908292259388497,0.011472285512727914,0.019199176877690252
70,0.015945660397559173,0.01209047594988937,0.02080825250513852
71,0.01750473278700871,0.013626788600629373,0.022365302169895636
72,0.01906380517645878,0.014942366093528489,0.024235017601593013
73,0.020622877565909567,0.016075105165244206,0.02630794976055085
74,0.022181949955359145,0.01712230312144191,0.028566585481420666
75,0.023741022344810885,0.01805290349716914,0.030922604212804253
76,0.02583479528895291,0.02001433212255151,0.03306314448062457
77,0.027928568233095946,0.021744065521377767,0.03562546694255443
78,0.03002234117723871,0.023224763971266053,0.038492916478283644
79,0.032116114121381684,0.02452865257786974,0.04162246317005229
80,0.03420988706552415,0.02565617584798135,0.04493019767517102
81,0.03652441671517863,0.027842288495249477,0.04719333646705865
82,0.03883894636483128,0.02968482803637524,0.050060779684463416
83,0.041153476014483464,0.03121890677381973,0.053374248470501505
84,0.04346800566413751,0.032536333167579874,0.05713671558660818
85,0.04578253531379152,0.033714707550791895,0.0611201554260932
86,0.04826262045340663,0.035866744380906763,0.06393150600761424
87,0.0507427055930216,0.037652551729046156,0.06734217761944179
88,0.05322279073263668,0.03909597043354622,0.07120956743414861
89,0.05570287587225233,0.04031886384956473,0.0755269608024933
90,0.05818296101186971,0.041369632703428076,0.08005300238291346
91,0.06071057553042855,0.043107939879280736,0.08356704789472434
92,0.06323819004899121,0.04463599994489196,0.0878041354396092
93,0.06576580456755485,0.04597060416509318,0.09245732627868945
94,0.06829341908611561,0.04711222884110485,0.09711615569721548
95,0.07082103360467602,0.04809923769489142,0.10256218025669912
96,0.07313796302912101,0.04937150284719787,0.10580276239716216
97,0.07545489245356568,0.050556358956249395,0.10968893611755318
98,0.07777182187800849,0.05169013922694467,0.11392997908603682
99,0.08008875130245187,0.05269787797108039,0.11859276865200247
100,0.08240568072689673,0.053446835772651996,0.12362645887318874
