age,sex,mean,lower_ci,upper_ci
76,Both,0.024458232920754334,0.019138374959424897,0.031069750988659543
77,Both,0.02615860436218748,0.020356970897081664,0.033352475642769636
78,Both,0.028241372676191746,0.02184473467651451,0.036134737501188244
79,Both,0.030348202742458523,0.023340262360575993,0.039012621358420596
80,Both,0.032394267613723694,0.024787449768761956,0.041777584929168325
81,Both,0.036360271504692766,0.028349497638099345,0.04630183314937715
82,Both,0.04024671253005758,0.03155861460162691,0.050938962547183275
83,Both,0.04379804043056346,0.03431433446490911,0.05542336810462627
84,Both,0.04732387540486444,0.0368911883210427,0.060243893371599126
85,Both,0.05065221734306038,0.039215249076555915,0.0648218767692054
86,Both,0.053929185965884405,0.04138829522188818,0.06949096089196109
87,Both,0.057387860879752874,0.043669731209882205,0.0745167501034878
88,Both,0.06080789955125557,0.0458597095799377,0.07956702087818142
89,Both,0.06395812346157564,0.04774409195052624,0.08425071170981668
90,Both,0.06728760203685609,0.04975159426247352,0.08915514944978815
91,Both,0.06860305406213404,0.050832273424082,0.09073690841115417
92,Both,0.06979037932615709,0.05154817192837847,0.09237262290473848
93,Both,0.07063580099947496,0.051905214599938264,0.09392623726686548
94,Both,0.0716113389506652,0.052201610096186526,0.09599320406104547
95,Both,0.07063692432565533,0.05095517964341989,0.09566575576356368
96,Both,0.0723919408719774,0.05169788798965074,0.09919192070255345
97,Both,0.07414692855122955,0.05236843697675221,0.10289308921134413
98,Both,0.07590188405566649,0.052977911690382865,0.10686807012587071
99,Both,0.0776567924692389,0.0535270729757237,0.11093843940640316
100,Both,0.07941164568374129,0.05403455654823739,0.11507835721318205
0,Male,0.0,0.0,0.0
1,Male,0.0,0.0,0.0
2,Male,0.0,0.0,0.0
3,Male,0.0,0.0,0.0
4,Male,0.0,0.0,0.0
5,Male,0.0,0.0,0.0
6,Male,0.0,0.0,0.0
7,Male,0.0,0.0,0.0
8,Male,0.0,0.0,0.0
9,Male,0.0,0.0,0.0
10,Male,0.0,0.0,0.0
11,Male,0.0,0.0,0.0
12,Male,0.0,0.0,0.0
13,Male,0.0,0.0,0.0
14,Male,0.0,0.0,0.0
15,Male,0.0,0.0,0.0
16,Male,0.0,0.0,0.0
17,Male,0.0,0.0,0.0
18,Male,0.0,0.0,0.0
19,Male,0.0,0.0,0.0
20,Male,0.0,0.0,0.0
21,Male,0.0,0.0,0.0
22,Male,0.0,0.0,0.0
23,Male,0.0,0.0,0.0
24,Male,0.0,0.0,0.0
25,Male,0.0,0.0,0.0
26,Male,0.0,0.0,0.0
27,Male,0.0,0.0,0.0
28,Male,0.0,0.0,0.0
29,Male,0.0,0.0,0.0
30,Male,1.3111751631180286e-06,2.24165527317233e-07,2.030473795225722e-06
31,Male,0.00011709897873310603,3.064488586244252e-05,0.0003068955316710473
32,Male,0.00023448888278140154,6.0528374848127656e-05,0.000616979802637117
33,Male,0.0003525838367455607,9.055808831975251e-05,0.0009288236135142708
34,Male,0.00047080014028306176,0.0001205692725688002,0.0012400135463899252
35,Male,0.0005881961683642863,0.00015039586754971886,0.0015502464185564242
36,Male,0.0007044853303523653,0.00017956978933873945,0.0018592622801405986
37,Male,0.0008191566165615888,0.00020874104049858086,0.002160933711653599
38,Male,0.0009324893978075731,0.00023763224928974192,0.002462028414121197
39,Male,0.0010471136687195096,0.0002666968958144982,0.0027660874136510656
40,Male,0.001165126554861228,0.00029660483818514755,0.00307830910520797
41,Male,0.0014368501539351389,0.0006399241165777863,0.0031873383865966645
42,Male,0.0017103277569381432,0.0009382320992004789,0.0033055147529181734
43,Male,0.0019848072994068586,0.001197767606407327,0.003437298460919362
44,Male,0.0022612413646855766,0.001420637309518434,0.003605466581481878
45,Male,0.0025410643633528985,0.0015901733317306495,0.003823324718942324
46,Male,0.002821723809941431,0.0017350124408602387,0.004063495824715471
47,Male,0.0031051498035764196,0.0018575381784183185,0.004392721268213371
48,Male,0.0033860280622624887,0.001966034580166613,0.004757616594979042
49,Male,0.0036635182740329783,0.0020537414035239417,0.005156029003621734
50,Male,0.003939923651737515,0.00214307355312547,0.005579167301010892
51,Male,0.00422702248469187,0.002556219668522742,0.0058612620580710696
52,Male,0.004517494047463187,0.0029468571858203784,0.0061778067225659
53,Male,0.004811359612697281,0.0032992224346499203,0.006525913463364763
54,Male,0.005089690480867744,0.0036038666038196625,0.006862014903189422
55,Male,0.005391443567275849,0.00389025024641301,0.007237491024421254
56,Male,0.005664903540243717,0.004136118662089912,0.0075899398729914
57,Male,0.005956108529641209,0.004359884792745534,0.007982722438735218
58,Male,0.006220754198484401,0.004560402107743459,0.00835109400666348
