original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev
265,Republic of Korea,68,Late-wet,6,Male,1,2008,70,95,1125,0.0142222222222222,0.0035301810614293,Asian ancestry,16.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
266,Republic of Korea,68,Late-wet,6,Female,2,2008,40,49,2385,0.0,0.0,Asian ancestry,0.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
267,Republic of Korea,68,Late-wet,6,Female,2,2008,50,59,2295,0.0030501089324618,0.0011510733397723,Asian ancestry,7.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
268,Republic of Korea,68,Late-wet,6,Female,2,2008,60,69,1908,0.0041928721174004,0.0014792931234469,Asian ancestry,8.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
269,Republic of Korea,68,Late-wet,6,Female,2,2008,70,95,1608,0.0099502487562189,0.0024751553177442,Asian ancestry,16.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
322,Thailand,18,Late-wet,6,Both,3,2010,50,99,7043,0.0069572625301718,0.0009904312196657,Asian ancestry,49.0,Late-wet,12.33635621044494,0.62858944,27.62647249175156
324,Republic of Korea,68,Late-wet,6,Male,1,2008,40,44,2071274,0.0004630000666256,1.49475903598e-05,Asian ancestry,959.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
325,Republic of Korea,68,Late-wet,6,Female,2,2008,40,44,2060714,0.0002800000388214,1.16549221035e-05,Asian ancestry,577.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
326,Republic of Korea,68,Late-wet,6,Male,1,2008,45,49,2045020,0.0007330001662575,1.89253547686e-05,Asian ancestry,1499.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
327,Republic of Korea,68,Late-wet,6,Female,2,2008,45,49,2027237,0.0005140000897773,1.59190700194e-05,Asian ancestry,1042.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
328,Republic of Korea,68,Late-wet,6,Male,1,2008,50,54,1888552,0.0013189999534034,2.64101768987e-05,Asian ancestry,2491.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
329,Republic of Korea,68,Late-wet,6,Female,2,2008,50,54,1910031,0.0009670000120416,2.24896630552e-05,Asian ancestry,1847.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
330,Republic of Korea,68,Late-wet,6,Male,1,2008,55,59,1360878,0.00250500044824,4.28498860079e-05,Asian ancestry,3409.0000000000005,Late-wet,18.57687207707148,0.833894627,43.15100039246264
331,Republic of Korea,68,Late-wet,6,Female,2,2008,55,59,1405979,0.0020739996827833,3.83675523912e-05,Asian ancestry,2916.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
332,Republic of Korea,68,Late-wet,6,Male,1,2008,60,64,1057090,0.0048519993567245,6.75846738757e-05,Asian ancestry,5129.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
333,Republic of Korea,68,Late-wet,6,Female,2,2008,60,64,1125179,0.0041939993547693,6.09243269544e-05,Asian ancestry,4719.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
334,Republic of Korea,68,Late-wet,6,Male,1,2008,65,69,833278,0.0090029977990538,0.0001034748449784,Asian ancestry,7501.999999999999,Late-wet,18.57687207707148,0.833894627,43.15100039246264
335,Republic of Korea,68,Late-wet,6,Female,2,2008,65,69,978955,0.0081730008018754,9.09970617711e-05,Asian ancestry,8000.999999999999,Late-wet,28.11242241287432,0.833894627,23.729224953019408
336,Republic of Korea,68,Late-wet,6,Male,1,2008,70,74,672918,0.0122109974766613,0.0001338833563814,Asian ancestry,8217.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
337,Republic of Korea,68,Late-wet,6,Female,2,2008,70,74,893156,0.010389002593052,0.0001072890806197,Asian ancestry,9279.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
338,Republic of Korea,68,Late-wet,6,Male,1,2008,75,79,410728,0.0143549989287314,0.0001856028705667,Asian ancestry,5896.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
339,Republic of Korea,68,Late-wet,6,Female,2,2008,75,79,673643,0.0112760022742016,0.0001286471633036,Asian ancestry,7596.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
340,Republic of Korea,68,Late-wet,6,Male,1,2008,80,84,186008,0.0158380284718936,0.0002894796493885,Asian ancestry,2946.0,Late-wet,18.57687207707148,0.833894627,43.15100039246264
341,Republic of Korea,68,Late-wet,6,Female,2,2008,80,84,409500,0.0104420024420024,0.0001588493963258,Asian ancestry,4276.0,Late-wet,28.11242241287432,0.833894627,23.729224953019408
