area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Iceland,83,Late-dry,7,Female,2,1996,80,95,26.0,0.3076923076923077,0.0905151392945464,0.78535642,0.271188707,p,,,
Lithuania,60,Late-dry,7,Both,3,2001,35,64,1357.0,0.0,0.0,0.727133585,0.2869385,p,,,
United States of America,102,Late-dry,7,Male,1,2004,40,49,957.0,0.0010449320794148,0.001044385995197,0.805304692,0.255691086,p,,,
United States of America,102,Late-dry,7,Female,2,2004,40,49,1339.0,0.0,0.0,0.805304692,0.205929313,p,,,
United States of America,102,Late-dry,7,Male,1,2004,50,59,739.0,0.0013531799729364,0.0013522641149817,0.805304692,0.255691086,p,,,
United States of America,102,Late-dry,7,Female,2,2004,50,59,1055.0,0.0,0.0,0.805304692,0.205929313,p,,,
United States of America,102,Late-dry,7,Male,1,2004,60,69,470.0,0.0042553191489361,0.0030025561478537,0.805304692,0.255691086,p,,,
United States of America,102,Late-dry,7,Female,2,2004,60,69,665.0,0.0045112781954887,0.00259870602981,0.805304692,0.205929313,p,,,
United States of America,102,Late-dry,7,Male,1,2004,70,79,236.0,0.0042372881355932,0.0042283013001622,0.805304692,0.255691086,p,,,
United States of America,102,Late-dry,7,Female,2,2004,70,79,296.0,0.0033783783783783,0.0033726668301206,0.805304692,0.205929313,p,,,
United States of America,102,Late-dry,7,Male,1,2004,80,95,45.0,0.1111111111111111,0.0468485579284204,0.805304692,0.255691086,p,,,
United States of America,102,Late-dry,7,Female,2,2004,80,95,73.0,0.0547945205479452,0.026636076335416,0.805304692,0.205929313,p,,,
China,6,Late-dry,7,Both,3,2002,50,95,341.0,0.136852394916911,0.0186119358261762,0.560542936,0.279868805,p,,,
Greece,82,Late-dry,7,Male,1,2000,60,64,161.0,0.0,0.0,0.73271054,0.502183354,p,,,
Greece,82,Late-dry,7,Female,2,2000,60,64,150.0,0.0066666666666666,0.0066444072834338,0.73271054,0.34892867,p,,,
Greece,82,Late-dry,7,Male,1,2000,65,69,486.0,0.0020576131687242,0.0020554951926933,0.73271054,0.502183354,p,,,
Greece,82,Late-dry,7,Female,2,2000,65,69,408.0,0.0024509803921568,0.0024479748969832,0.73271054,0.34892867,p,,,
Greece,82,Late-dry,7,Male,1,2000,70,74,388.0,0.0206185567010309,0.0072142170311596,0.73271054,0.502183354,p,,,
Greece,82,Late-dry,7,Female,2,2000,70,74,306.0,0.0163398692810457,0.0072474647252812,0.73271054,0.34892867,p,,,
Greece,82,Late-dry,7,Male,1,2000,75,79,180.0,0.0166666666666666,0.009541980020732,0.73271054,0.502183354,p,,,
Greece,82,Late-dry,7,Female,2,2000,75,79,198.0,0.0252525252525252,0.0111497690379883,0.73271054,0.34892867,p,,,
Greece,82,Late-dry,7,Male,1,2000,80,95,137.0,0.0583941605839416,0.0200335999865405,0.73271054,0.502183354,p,,,
Greece,82,Late-dry,7,Female,2,2000,80,95,140.0,0.0285714285714285,0.014080153722988,0.73271054,0.34892867,p,,,
Norway,90,Late-dry,7,Male,1,2002,51,60,75.0,0.0,0.0,0.856757888,0.332106467,p,,,
Norway,90,Late-dry,7,Female,2,2002,51,60,85.0,0.0,0.0,0.856757888,0.277140697,p,,,
Norway,90,Late-dry,7,Male,1,2002,61,70,79.0,0.0253164556962025,0.0176733843968922,0.856757888,0.332106467,p,,,
Norway,90,Late-dry,7,Female,2,2002,61,70,83.0,0.0,0.0,0.856757888,0.277140697,p,,,
Norway,90,Late-dry,7,Male,1,2002,71,80,44.0,0.0227272727272727,0.0224675239369127,0.856757888,0.332106467,p,,,
Norway,90,Late-dry,7,Female,2,2002,71,80,46.0,0.0,0.0,0.856757888,0.277140697,p,,,
Norway,90,Late-dry,7,Male,1,2002,81,90,25.0,0.12,0.0649923072370876,0.856757888,0.332106467,p,,,
Norway,90,Late-dry,7,Female,2,2002,81,90,22.0,0.0454545454545454,0.0444094736781088,0.856757888,0.277140697,p,,,
China,6,Late-dry,7,Both,3,2001,40,44,733.0,0.0,0.0,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,45,49,710.0,0.0,0.0,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,50,54,595.0,0.0,0.0,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,55,59,576.0,0.0,0.0,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,60,64,726.0,0.0013774104683195,0.0013764615116321,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,65,69,554.0,0.0,0.0,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,70,74,302.0,0.0,0.0,0.553680374,0.284411231,p,,,
China,6,Late-dry,7,Both,3,2001,75,95,180.0,0.0,0.0,0.553680374,0.284411231,p,,,
Denmark,78,Late-dry,7,Male,1,2002,60,69,184.0,0.0054347826086956,0.0054199940571782,0.847086357,0.344041712,p,,,
Denmark,78,Late-dry,7,Female,2,2002,60,69,233.0,0.0085836909871244,0.0060434802369235,0.847086357,0.31791412,p,,,
Denmark,78,Late-dry,7,Male,1,2002,70,79,82.0,0.0365853658536585,0.0207325821280243,0.847086357,0.344041712,p,,,
Denmark,78,Late-dry,7,Female,2,2002,70,79,121.0,0.0330578512396694,0.0162534242319939,0.847086357,0.31791412,p,,,
Denmark,78,Late-dry,7,Male,1,2002,80,95,11.0,0.0909090909090909,0.0866784172041447,0.847086357,0.344041712,p,,,
Denmark,78,Late-dry,7,Female,2,2002,80,95,29.0,0.1379310344827586,0.0640328752334661,0.847086357,0.31791412,p,,,
Brazil,135,Late-dry,7,Both,3,2002,60,95,478.0,0.00418410041841,0.0029524097391772,0.552776035,0.229940798,p,,,
Republic of Korea,68,Late-dry,7,Both,3,2006,50,92,5275.5,0.0009477774618519,0.0004236580568452,0.82417982,0.263337769,p,,,
Italy,86,Late-dry,7,Both,3,2004,65,95,210.0,0.0380952380952381,0.0132096629367807,0.762787749,0.271505364,p,,,
India,163,Late-dry,7,Both,3,2005,60,69,432.0,0.0030864197530864,0.0026687898518987,0.425913062,0.177805624,p,,,
India,163,Late-dry,7,Both,3,2005,70,95,432.0,0.003858024691358,0.0029826428192338,0.425913062,0.177805624,p,,,
United States of America,102,Late-dry,7,Male,1,2005,40,95,1375.0,0.0069090909090909,0.0022338479433725,0.80603308,0.250308237,p,,,
United States of America,102,Late-dry,7,Female,2,2005,40,95,1366.0,0.0018301610541727,0.0011564357965759,0.80603308,0.200353844,p,,,
United States of America,102,Late-dry,7,Both,3,2005,40,59,1407.5,0.0,0.0,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,60,95,1333.5,0.0138732658417697,0.0032030167558019,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,40,59,1368.0,0.0,0.0,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,60,95,1579.0,0.0158328055731475,0.0031413933247512,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,40,59,605.0,0.0,0.0,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,60,95,509.0,0.0039292730844793,0.0027729516936467,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,40,59,505.0,0.0,0.0,0.80603308,0.225312896,p,,,
United States of America,102,Late-dry,7,Both,3,2005,60,95,343.0,0.0,0.0,0.80603308,0.225312896,p,,,
Spain,92,Late-dry,7,Male,1,2011,65,95,420.0,0.0107142857142857,0.0050236321985663,0.74209645,0.396839062,p,,,
Spain,92,Late-dry,7,Female,2,2011,65,95,646.0,0.0185758513931888,0.0053123474865315,0.74209645,0.319399003,p,,,
Spain,92,Late-dry,7,Both,3,2011,65,69,236.0,0.0021186440677966,0.0029930395348622,0.74209645,0.357564264,p,,,
Spain,92,Late-dry,7,Both,3,2011,70,74,253.0,0.0039525691699604,0.0039447500343703,0.74209645,0.357564264,p,,,
Spain,92,Late-dry,7,Both,3,2011,75,79,302.5,0.0181818181818181,0.0076819504387585,0.74209645,0.357564264,p,,,
Spain,92,Late-dry,7,Both,3,2011,80,95,274.5,0.0400728597449908,0.011837858083108,0.74209645,0.357564264,p,,,
United States of America,102,Late-dry,7,Male,1,1992,48,59,186.0,0.0053763440860215,0.0053618720703066,0.769595492,0.279346481,p,,,
United States of America,102,Late-dry,7,Female,2,1992,48,59,242.0,0.0041322314049586,0.0041236848985913,0.769595492,0.244032033,p,,,
United States of America,102,Late-dry,7,Male,1,1992,60,69,140.0,0.0071428571428571,0.007117301221417,0.769595492,0.279346481,p,,,
United States of America,102,Late-dry,7,Female,2,1992,60,69,225.0,0.0,0.0,0.769595492,0.244032033,p,,,
United States of America,102,Late-dry,7,Male,1,1992,70,82,67.0,0.0,0.0,0.769595492,0.279346481,p,,,
United States of America,102,Late-dry,7,Female,2,1992,70,82,126.0,0.0,0.0,0.769595492,0.244032033,p,,,
China,6,Late-dry,7,Male,1,2006,30,39,549.0,0.0,0.0,0.59875817,0.498311237,p,,,
China,6,Late-dry,7,Female,2,2006,30,39,671.0,0.0,0.0,0.59875817,0.038673978,p,,,
China,6,Late-dry,7,Male,1,2006,40,49,597.0,0.0,0.0,0.59875817,0.498311237,p,,,
China,6,Late-dry,7,Female,2,2006,40,49,715.0,0.0,0.0,0.59875817,0.038673978,p,,,
China,6,Late-dry,7,Male,1,2006,50,59,1134.0,0.0,0.0,0.59875817,0.498311237,p,,,
China,6,Late-dry,7,Female,2,2006,50,59,1304.0,0.0,0.0,0.59875817,0.038673978,p,,,
China,6,Late-dry,7,Male,1,2006,60,69,537.0,0.0,0.0,0.59875817,0.498311237,p,,,
China,6,Late-dry,7,Female,2,2006,60,69,534.0,0.0,0.0,0.59875817,0.038673978,p,,,
China,6,Late-dry,7,Male,1,2006,70,95,235.0,0.0,0.0,0.59875817,0.498311237,p,,,
China,6,Late-dry,7,Female,2,2006,70,95,295.0,0.0,0.0,0.59875817,0.038673978,p,,,
Iceland,83,Late-dry,7,Male,1,2002,66,69,194.0,0.0,0.0,0.813400392,0.240309421,p,,,
Iceland,83,Late-dry,7,Female,2,2002,66,69,336.0,0.0029761904761904,0.0029717583211234,0.813400392,0.232456427,p,,,
Iceland,83,Late-dry,7,Male,1,2002,70,74,685.0,0.002919708029197,0.0020615292085477,0.813400392,0.240309421,p,,,
Iceland,83,Late-dry,7,Female,2,2002,70,74,897.0,0.0066889632107023,0.0027216095027113,0.813400392,0.232456427,p,,,
Iceland,83,Late-dry,7,Male,1,2002,75,79,687.0,0.0189228529839883,0.0051983619941314,0.813400392,0.240309421,p,,,
Iceland,83,Late-dry,7,Female,2,2002,75,79,845.0,0.0189349112426035,0.0046886972716452,0.813400392,0.232456427,p,,,
Iceland,83,Late-dry,7,Male,1,2002,80,84,502.0,0.0438247011952191,0.0091364268910442,0.813400392,0.240309421,p,,,
Iceland,83,Late-dry,7,Female,2,2002,80,84,690.0,0.0579710144927536,0.008896374116592,0.813400392,0.232456427,p,,,
