original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
207,Thailand,18,Intermediate,5,Both,3,2006,70,79,2034,0.0363815142576204,0.0041516188261983,Asian ancestry,74.0,Intermediate,11.81743254026047,0.610356678,28.98530766959453,p,,
208,Thailand,18,Intermediate,5,Both,3,2006,80,95,465,0.0193548387096774,0.0063888728755379,Asian ancestry,9.0,Intermediate,11.81743254026047,0.610356678,28.98530766959453,p,,
223,Singapore,69,Intermediate,5,Both,3,2005,40,99,3172,0.0639974779319041,0.0043456360373872,Asian ancestry,203.0,Intermediate,23.54156314632148,0.796455751,23.082253448996426,p,,
226,Singapore,69,Intermediate,5,Male,1,2007,40,49,423,0.0260047281323877,0.0077381010992426,Asian ancestry,11.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889,p,,
227,Singapore,69,Intermediate,5,Male,1,2007,50,59,538,0.0390334572490706,0.0083499044430851,Asian ancestry,21.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889,p,,
228,Singapore,69,Intermediate,5,Male,1,2007,60,69,458,0.0720524017467248,0.012082400238462,Asian ancestry,33.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889,p,,
229,Singapore,69,Intermediate,5,Male,1,2007,70,79,209,0.1483253588516746,0.0245850682863984,Asian ancestry,31.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889,p,,
230,Singapore,69,Intermediate,5,Male,1,2007,80,83,39,0.2307692307692307,0.0674660014851561,Asian ancestry,9.0,Intermediate,20.05311210158941,0.810625304,27.49857380804889,p,,
231,Singapore,69,Intermediate,5,Female,2,2007,40,49,450,0.02,0.0065996632910744,Asian ancestry,9.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686,p,,
232,Singapore,69,Intermediate,5,Female,2,2007,50,59,560,0.025,0.0065974832863968,Asian ancestry,14.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686,p,,
233,Singapore,69,Intermediate,5,Female,2,2007,60,69,414,0.0700483091787439,0.0125437922326042,Asian ancestry,29.000000000000004,Intermediate,27.108424579481227,0.810625304,17.50341826675686,p,,
234,Singapore,69,Intermediate,5,Female,2,2007,70,79,206,0.1262135922330097,0.0231378017694334,Asian ancestry,26.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686,p,,
235,Singapore,69,Intermediate,5,Female,2,2007,80,83,33,0.1515151515151515,0.0624155940053863,Asian ancestry,5.0,Intermediate,27.108424579481227,0.810625304,17.50341826675686,p,,
236,India,163,Intermediate,5,Male,1,2006,40,49,632,0.0379746835443038,0.0076029440244308,Asian ancestry,24.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356,p,,
237,India,163,Intermediate,5,Male,1,2006,50,59,392,0.0739795918367346,0.0132197490471029,Asian ancestry,29.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356,p,,
238,India,163,Intermediate,5,Male,1,2006,60,69,333,0.09009009009009,0.0156897343839208,Asian ancestry,30.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356,p,,
239,India,163,Intermediate,5,Male,1,2006,70,79,221,0.1040723981900452,0.0205403624421156,Asian ancestry,23.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356,p,,
240,India,163,Intermediate,5,Male,1,2006,80,83,44,0.0909090909090909,0.0433392086020723,Asian ancestry,4.0,Intermediate,12.06680612040818,0.433321558,33.82173456391356,p,,
241,India,163,Intermediate,5,Female,2,2006,40,49,739,0.0230040595399188,0.0055147572699455,Asian ancestry,17.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393,p,,
242,India,163,Intermediate,5,Female,2,2006,50,59,395,0.0860759493670886,0.0141122875185666,Asian ancestry,34.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393,p,,
243,India,163,Intermediate,5,Female,2,2006,60,69,507,0.0749506903353057,0.0116940859269882,Asian ancestry,38.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393,p,,
