area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Japan,67,Early,4,Both,3,2008,50,59,915.0,0.1885245901639344,0.0129303755166925,0.840301217,0.26811033,p,,,
Japan,67,Early,4,Both,3,2008,60,69,1421.0,0.2311752287121745,0.0111837459448179,0.840301217,0.26811033,p,,,
Japan,67,Early,4,Both,3,2008,70,74,461.5,0.2481040086673889,0.0201052705988181,0.840301217,0.26811033,p,,,
Australia,71,Early,4,Male,1,2015,50,98,704.0,0.1420454545454545,0.0131570789464842,0.824860715,0.173360861,p,,,
Australia,71,Early,4,Female,2,2015,50,98,889.5,0.1540191118605958,0.012103043858839,0.824860715,0.148018445,p,,,
Australia,71,Early,4,Both,3,2015,50,59,466.5,0.1189710610932476,0.014989596085814,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,60,69,590.5,0.1439458086367485,0.0144457531686919,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,70,79,359.0,0.1740947075208913,0.0200129303837858,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Male,1,2015,40,92,322.5,0.1240310077519379,0.0183545881189685,0.824860715,0.173360861,p,,,
Australia,71,Early,4,Female,2,2015,40,92,456.0,0.1480263157894736,0.0166303019261915,0.824860715,0.148018445,p,,,
Australia,71,Early,4,Both,3,2015,40,49,285.5,0.0980735551663747,0.0176018559902823,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,50,59,295.0,0.1559322033898305,0.021122511995565,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,60,69,142.0,0.1619718309859155,0.0309175364970948,0.824860715,0.160662961,p,,,
Australia,71,Early,4,Both,3,2015,70,92,62.0,0.1693548387096774,0.0476333065426094,0.824860715,0.160662961,p,,,
China,6,Early,4,Male,1,2014,50,59,615.0,0.3821138211382114,0.0195935466741926,0.668640847,0.502991407,p,,,
China,6,Early,4,Female,2,2014,50,59,883.0,0.3657984144960362,0.0162089252446223,0.668640847,0.037427824,p,,,
China,6,Early,4,Male,1,2014,60,69,919.0,0.4461371055495103,0.0163974967104534,0.668640847,0.502991407,p,,,
China,6,Early,4,Female,2,2014,60,69,751.0,0.4820239680426098,0.0182334638534379,0.668640847,0.037427824,p,,,
China,6,Early,4,Male,1,2014,70,95,864.0,0.3900462962962963,0.0165939449242871,0.668640847,0.502991407,p,,,
China,6,Early,4,Female,2,2014,70,95,849.0,0.3957597173144876,0.0167828914605959,0.668640847,0.037427824,p,,,
China,6,Early,4,Both,3,2015,50,59,694.0,0.0706051873198847,0.0097238598705971,0.671940111,0.271604374,p,,,
China,6,Early,4,Both,3,2015,60,69,697.0,0.1779053084648493,0.014485683313834,0.671940111,0.271604374,p,,,
China,6,Early,4,Both,3,2015,70,79,585.0,0.1145299145299145,0.0131664435688781,0.671940111,0.271604374,p,,,
China,6,Early,4,Both,3,2015,80,95,256.0,0.10546875,0.0191972789385954,0.671940111,0.271604374,p,,,
Germany,81,Early,4,Both,3,2013,70,95,1040.0,0.2644230769230769,0.013675620971473,0.885926953,0.275838772,p,,,
Germany,81,Early,4,Both,3,2008,29,79,1841.0,0.048886474741988,0.0050255505414961,0.872552849,0.29421038,p,,,
Russian Federation,62,Early,4,Both,3,2015,40,49,1082.0,0.0508317929759704,0.0066776811059451,0.784913774,0.310906265,p,,,
Russian Federation,62,Early,4,Both,3,2015,50,59,1688.0,0.0758293838862559,0.0064433039761415,0.784913774,0.310906265,p,,,
Russian Federation,62,Early,4,Both,3,2015,60,69,1428.0,0.1043417366946778,0.0080897685267675,0.784913774,0.310906265,p,,,
Russian Federation,62,Early,4,Both,3,2015,70,79,579.0,0.1744386873920552,0.0157709113165032,0.784913774,0.310906265,p,,,
Russian Federation,62,Early,4,Both,3,2015,80,92,155.0,0.2,0.0321287731560999,0.784913774,0.310906265,p,,,
China,6,Early,4,Male,1,2017,50,59,1898.0,0.0979978925184404,0.0068243931777609,0.684619661,0.499084021,p,,,
China,6,Early,4,Male,1,2017,60,69,1211.0,0.1131296449215524,0.0091021965553205,0.684619661,0.499084021,p,,,
China,6,Early,4,Male,1,2017,70,97,435.0,0.1218390804597701,0.0156832379172458,0.684619661,0.499084021,p,,,
