age,sex,mean,lower_ci,upper_ci
76,Both,0.024817676677254322,0.020077396552840195,0.030475545926754128
77,Both,0.026571632476600573,0.021372775789813492,0.032753170123531745
78,Both,0.028590533766835825,0.02286240437667171,0.03540157353894109
79,Both,0.030483440635744832,0.024239457895701044,0.03789124828609929
80,Both,0.03233567763632139,0.025619202771876234,0.04031565715946471
81,Both,0.035537055601818884,0.028615390657713763,0.0437409254863572
82,Both,0.0386870776551456,0.03135748675835999,0.0473975386398526
83,Both,0.04167376533430266,0.033678846181067965,0.051264332384739285
84,Both,0.044662579618513165,0.03585036372663155,0.05543519456868691
85,Both,0.04755579389889404,0.03782409547724533,0.05961708812935726
86,Both,0.050448070227080664,0.03978585928484064,0.06394314196562827
87,Both,0.05334802806810157,0.041581817062239325,0.068341324083523
88,Both,0.056003398600385244,0.04315992530269005,0.07251202103811061
89,Both,0.05860523454906979,0.04462223501556587,0.0766161155233752
90,Both,0.06127618822485221,0.04617416799982322,0.08071789486777792
91,Both,0.06256148069107141,0.04730795026054813,0.08273547385136341
92,Both,0.06368762189984575,0.047966352825944115,0.08482595932289466
93,Both,0.06481271444275041,0.04843709042902486,0.08730195231950068
94,Both,0.06586181192292548,0.04868372200683316,0.08996241709926826
95,Both,0.0658082365763502,0.0479923953310211,0.09141842776706818
96,Both,0.06738779575135052,0.04855910768714457,0.09519505441431808
97,Both,0.06896735433390873,0.04908221230530193,0.09915832706375784
98,Both,0.07054691133808458,0.04953212398190561,0.10311832248500319
99,Both,0.07212646834226136,0.04995121534499138,0.107330870562393
100,Both,0.07370602534643661,0.050337694812521885,0.11164279363518748
0,Male,0.0,0.0,0.0
1,Male,0.0,0.0,0.0
2,Male,0.0,0.0,0.0
3,Male,0.0,0.0,0.0
4,Male,0.0,0.0,0.0
5,Male,0.0,0.0,0.0
6,Male,0.0,0.0,0.0
7,Male,0.0,0.0,0.0
8,Male,0.0,0.0,0.0
9,Male,0.0,0.0,0.0
10,Male,0.0,0.0,0.0
11,Male,0.0,0.0,0.0
12,Male,0.0,0.0,0.0
13,Male,0.0,0.0,0.0
14,Male,0.0,0.0,0.0
15,Male,0.0,0.0,0.0
16,Male,0.0,0.0,0.0
