,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_interval_p[64],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
mu_interval_p[65],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
mu_interval_p[66],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
mu_interval_p[67],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
mu_interval_p[68],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
mu_interval_p[69],0.05,0.01,0.03,0.06,0.0,0.0,1423.31,4034.3,1.0
mu_interval_p[70],0.04,0.01,0.03,0.06,0.0,0.0,720.47,1385.8,1.01
mu_interval_p[71],0.03,0.01,0.02,0.05,0.0,0.0,717.41,1177.84,1.01
mu_interval_p[72],0.03,0.01,0.02,0.04,0.0,0.0,904.27,1358.36,1.01
mu_interval_p[73],0.03,0.01,0.02,0.04,0.0,0.0,5219.12,5799.58,1.0
mu_interval_p[74],0.04,0.01,0.02,0.05,0.0,0.0,4823.44,6244.05,1.0
mu_interval_p[75],0.05,0.01,0.03,0.07,0.0,0.0,882.68,2024.25,1.01
mu_interval_p[76],0.03,0.01,0.02,0.05,0.0,0.0,692.3,1187.1,1.01
mu_interval_p[77],0.02,0.0,0.01,0.03,0.0,0.0,1578.49,2481.86,1.0
mu_interval_p[78],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[79],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[80],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[81],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[82],0.04,0.01,0.03,0.05,0.0,0.0,765.97,1462.28,1.01
mu_interval_p[83],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
mu_interval_p[84],0.01,0.0,0.01,0.02,0.0,0.0,6146.4,7103.97,1.0
mu_interval_p[85],0.03,0.01,0.02,0.04,0.0,0.0,5264.59,5878.18,1.0
mu_interval_p[86],0.01,0.0,0.0,0.01,0.0,0.0,5313.03,5899.11,1.0
mu_interval_p[87],0.04,0.01,0.03,0.05,0.0,0.0,811.1,1652.99,1.01
mu_interval_p[88],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[89],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[90],0.01,0.0,0.01,0.02,0.0,0.0,6207.35,7297.08,1.0
mu_interval_p[91],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[92],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[93],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
mu_interval_p[94],0.02,0.0,0.02,0.03,0.0,0.0,5454.0,6402.8,1.0
mu_interval_p[95],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
sigma_alpha_p_0,0.25,0.09,0.09,0.4,0.0,0.0,6907.29,7765.37,1.0
sigma_alpha_p_1,0.25,0.09,0.1,0.4,0.0,0.0,7552.25,7897.16,1.0
sigma_alpha_p_2,0.25,0.09,0.1,0.41,0.0,0.0,6969.03,7688.58,1.0
pi_p[0],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
pi_p[1],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[2],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[3],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[4],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[5],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[6],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
pi_p[7],0.03,0.01,0.02,0.04,0.0,0.0,5264.6,5878.18,1.0
pi_p[8],0.03,0.01,0.02,0.04,0.0,0.0,5181.56,5817.06,1.0
pi_p[9],0.02,0.0,0.01,0.03,0.0,0.0,5631.44,6521.1,1.0
pi_p[10],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
pi_p[11],0.04,0.01,0.03,0.05,0.0,0.0,800.29,1638.37,1.01
pi_p[12],0.01,0.0,0.0,0.01,0.0,0.0,5279.01,5990.32,1.0
pi_p[13],0.01,0.0,0.0,0.01,0.0,0.0,5309.0,6016.75,1.0
pi_p[14],0.01,0.0,0.01,0.02,0.0,0.0,6226.88,7409.19,1.0
pi_p[15],0.02,0.0,0.01,0.03,0.0,0.0,5627.63,6479.27,1.0
pi_p[16],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
pi_p[17],0.04,0.01,0.03,0.05,0.0,0.0,4235.14,6297.3,1.0
pi_p[18],0.05,0.01,0.03,0.07,0.0,0.0,994.67,2502.79,1.01
pi_p[19],0.04,0.01,0.03,0.05,0.0,0.0,685.5,1182.56,1.01
pi_p[20],0.03,0.01,0.02,0.04,0.0,0.0,795.23,1258.7,1.01
pi_p[21],0.02,0.0,0.01,0.03,0.0,0.0,1499.33,2346.61,1.0
pi_p[22],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[23],0.02,0.0,0.01,0.03,0.0,0.0,5631.44,6521.1,1.0
pi_p[24],0.04,0.01,0.03,0.05,0.0,0.0,4744.9,6190.53,1.0
pi_p[25],0.05,0.01,0.03,0.07,0.0,0.0,912.96,2127.47,1.01
pi_p[26],0.04,0.01,0.02,0.05,0.0,0.0,686.31,1183.82,1.01
pi_p[27],0.02,0.01,0.01,0.03,0.0,0.0,1288.32,1820.59,1.0
pi_p[28],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
pi_p[29],0.04,0.01,0.03,0.05,0.0,0.0,788.39,1544.15,1.01
pi_p[30],0.02,0.0,0.02,0.03,0.0,0.0,5449.8,6388.73,1.0
pi_p[31],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
pi_p[32],0.03,0.01,0.02,0.04,0.0,0.0,5219.08,5799.58,1.0
pi_p[33],0.05,0.01,0.03,0.06,0.0,0.0,1714.1,4740.79,1.0
pi_p[34],0.05,0.01,0.03,0.07,0.0,0.0,819.92,1715.88,1.01
pi_p[35],0.04,0.01,0.02,0.05,0.0,0.0,691.88,1219.49,1.01
pi_p[36],0.02,0.0,0.01,0.03,0.0,0.0,1115.83,1836.96,1.01
pi_p[37],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
pi_p[38],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
pi_p[39],0.01,0.0,0.01,0.02,0.0,0.0,6196.49,7687.76,1.0
pi_p[40],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
pi_p[41],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
pi_p[42],0.01,0.0,0.01,0.02,0.0,0.0,6226.86,7409.19,1.0
pi_p[43],0.03,0.01,0.02,0.04,0.0,0.0,5264.53,5878.18,1.0
pi_p[44],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
pi_p[45],0.04,0.01,0.03,0.05,0.0,0.0,769.53,1482.48,1.01
pi_p[46],0.01,0.0,0.01,0.02,0.0,0.0,1736.0,2419.07,1.0
pi_p[47],0.02,0.0,0.02,0.03,0.0,0.0,5374.79,6436.7,1.0
pi_p[48],0.04,0.01,0.03,0.05,0.0,0.0,662.21,1183.95,1.01
pi_p[49],0.03,0.01,0.02,0.04,0.0,0.0,704.53,1242.27,1.01
pi_p[50],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
pi_p[51],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
pi_p[52],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
pi_p[53],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
pi_p[54],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
pi_p[55],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
pi_p[56],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
pi_p[57],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
pi_p[58],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
pi_p[59],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
pi_p[60],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
pi_p[61],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
pi_p[62],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
pi_p[63],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
pi_p[64],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
pi_p[65],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
pi_p[66],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
pi_p[67],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
pi_p[68],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
pi_p[69],0.05,0.01,0.03,0.06,0.0,0.0,1423.31,4034.3,1.0
pi_p[70],0.04,0.01,0.03,0.06,0.0,0.0,720.47,1385.8,1.01
pi_p[71],0.03,0.01,0.02,0.05,0.0,0.0,717.41,1177.84,1.01
pi_p[72],0.03,0.01,0.02,0.04,0.0,0.0,904.27,1358.36,1.01
pi_p[73],0.03,0.01,0.02,0.04,0.0,0.0,5219.12,5799.58,1.0
pi_p[74],0.04,0.01,0.02,0.05,0.0,0.0,4823.44,6244.05,1.0
pi_p[75],0.05,0.01,0.03,0.07,0.0,0.0,882.68,2024.25,1.01
pi_p[76],0.03,0.01,0.02,0.05,0.0,0.0,692.3,1187.1,1.01
pi_p[77],0.02,0.0,0.01,0.03,0.0,0.0,1578.49,2481.86,1.0
pi_p[78],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[79],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[80],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[81],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[82],0.04,0.01,0.03,0.05,0.0,0.0,765.97,1462.28,1.01
pi_p[83],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
pi_p[84],0.01,0.0,0.01,0.02,0.0,0.0,6146.4,7103.97,1.0
pi_p[85],0.03,0.01,0.02,0.04,0.0,0.0,5264.59,5878.18,1.0
pi_p[86],0.01,0.0,0.0,0.01,0.0,0.0,5313.03,5899.11,1.0
pi_p[87],0.04,0.01,0.03,0.05,0.0,0.0,811.1,1652.99,1.01
pi_p[88],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[89],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[90],0.01,0.0,0.01,0.02,0.0,0.0,6207.35,7297.08,1.0
pi_p[91],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[92],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[93],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
pi_p[94],0.02,0.0,0.02,0.03,0.0,0.0,5454.0,6402.8,1.0
pi_p[95],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
delta_p[0],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[1],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[2],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[3],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[4],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[5],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[6],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[7],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[8],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[9],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[10],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[11],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[12],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[13],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[14],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[15],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[16],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[17],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[18],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[19],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[20],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[21],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[22],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[23],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[24],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[25],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[26],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[27],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[28],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[29],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[30],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[31],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[32],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[33],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[34],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[35],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[36],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[37],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[38],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[39],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[40],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[41],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[42],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[43],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[44],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[45],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[46],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[47],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[48],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[49],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[50],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[51],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[52],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[53],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[54],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[55],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[56],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[57],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[58],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[59],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[60],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[61],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[62],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[63],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[64],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[65],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[66],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[67],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[68],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[69],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[70],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[71],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[72],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[73],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[74],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[75],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[76],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[77],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[78],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[79],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[80],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[81],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[82],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[83],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[84],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[85],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[86],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[87],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[88],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[89],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[90],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[91],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[92],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[93],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[94],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
delta_p[95],1.03,0.03,1.0,1.09,0.0,0.0,5828.77,5999.22,1.0
p_pred_p[0],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
p_pred_p[1],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[2],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[3],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[4],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[5],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[6],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
p_pred_p[7],0.03,0.01,0.02,0.04,0.0,0.0,5264.6,5878.18,1.0
p_pred_p[8],0.03,0.01,0.02,0.04,0.0,0.0,5181.56,5817.06,1.0
p_pred_p[9],0.02,0.0,0.01,0.03,0.0,0.0,5631.44,6521.1,1.0
p_pred_p[10],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
p_pred_p[11],0.04,0.01,0.03,0.05,0.0,0.0,800.29,1638.37,1.01
p_pred_p[12],0.01,0.0,0.0,0.01,0.0,0.0,5279.01,5990.32,1.0
p_pred_p[13],0.01,0.0,0.0,0.01,0.0,0.0,5309.0,6016.75,1.0
p_pred_p[14],0.01,0.0,0.01,0.02,0.0,0.0,6226.88,7409.19,1.0
p_pred_p[15],0.02,0.0,0.01,0.03,0.0,0.0,5627.63,6479.27,1.0
p_pred_p[16],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
p_pred_p[17],0.04,0.01,0.03,0.05,0.0,0.0,4235.14,6297.3,1.0
p_pred_p[18],0.05,0.01,0.03,0.07,0.0,0.0,994.67,2502.79,1.01
p_pred_p[19],0.04,0.01,0.03,0.05,0.0,0.0,685.5,1182.56,1.01
p_pred_p[20],0.03,0.01,0.02,0.04,0.0,0.0,795.23,1258.7,1.01
p_pred_p[21],0.02,0.0,0.01,0.03,0.0,0.0,1499.33,2346.61,1.0
p_pred_p[22],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[23],0.02,0.0,0.01,0.03,0.0,0.0,5631.44,6521.1,1.0
p_pred_p[24],0.04,0.01,0.03,0.05,0.0,0.0,4744.9,6190.53,1.0
p_pred_p[25],0.05,0.01,0.03,0.07,0.0,0.0,912.96,2127.47,1.01
p_pred_p[26],0.04,0.01,0.02,0.05,0.0,0.0,686.31,1183.82,1.01
p_pred_p[27],0.02,0.01,0.01,0.03,0.0,0.0,1288.32,1820.59,1.0
p_pred_p[28],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
p_pred_p[29],0.04,0.01,0.03,0.05,0.0,0.0,788.39,1544.15,1.01
p_pred_p[30],0.02,0.0,0.02,0.03,0.0,0.0,5449.8,6388.73,1.0
p_pred_p[31],0.04,0.01,0.03,0.06,0.0,0.0,784.13,1561.72,1.01
p_pred_p[32],0.03,0.01,0.02,0.04,0.0,0.0,5219.08,5799.58,1.0
p_pred_p[33],0.05,0.01,0.03,0.06,0.0,0.0,1714.1,4740.79,1.0
p_pred_p[34],0.05,0.01,0.03,0.07,0.0,0.0,819.92,1715.88,1.01
p_pred_p[35],0.04,0.01,0.02,0.05,0.0,0.0,691.88,1219.49,1.01
p_pred_p[36],0.02,0.0,0.01,0.03,0.0,0.0,1115.83,1836.96,1.01
p_pred_p[37],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
p_pred_p[38],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
p_pred_p[39],0.01,0.0,0.01,0.02,0.0,0.0,6196.49,7687.76,1.0
p_pred_p[40],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
p_pred_p[41],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
p_pred_p[42],0.01,0.0,0.01,0.02,0.0,0.0,6226.86,7409.19,1.0
p_pred_p[43],0.03,0.01,0.02,0.04,0.0,0.0,5264.53,5878.18,1.0
p_pred_p[44],0.03,0.01,0.02,0.04,0.0,0.0,5316.26,6102.75,1.0
p_pred_p[45],0.04,0.01,0.03,0.05,0.0,0.0,769.53,1482.48,1.01
p_pred_p[46],0.01,0.0,0.01,0.02,0.0,0.0,1736.0,2419.07,1.0
p_pred_p[47],0.02,0.0,0.02,0.03,0.0,0.0,5374.79,6436.7,1.0
p_pred_p[48],0.04,0.01,0.03,0.05,0.0,0.0,662.21,1183.95,1.01
p_pred_p[49],0.03,0.01,0.02,0.04,0.0,0.0,704.53,1242.27,1.01
p_pred_p[50],0.04,0.01,0.03,0.06,0.0,0.0,781.0,1551.61,1.01
p_pred_p[51],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
p_pred_p[52],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
p_pred_p[53],0.0,0.0,0.0,0.0,0.0,0.0,5376.18,6444.57,1.0
p_pred_p[54],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
p_pred_p[55],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
p_pred_p[56],0.0,0.0,0.0,0.01,0.0,0.0,5258.97,6033.81,1.0
p_pred_p[57],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
p_pred_p[58],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
p_pred_p[59],0.01,0.0,0.0,0.01,0.0,0.0,5290.21,5913.57,1.0
p_pred_p[60],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
p_pred_p[61],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
p_pred_p[62],0.01,0.0,0.01,0.01,0.0,0.0,5667.74,6813.0,1.0
p_pred_p[63],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
p_pred_p[64],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6436.35,1.0
p_pred_p[65],0.02,0.0,0.01,0.02,0.0,0.0,5879.77,6437.06,1.0
p_pred_p[66],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
p_pred_p[67],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
p_pred_p[68],0.03,0.01,0.02,0.04,0.0,0.0,5316.25,6102.75,1.0
p_pred_p[69],0.05,0.01,0.03,0.06,0.0,0.0,1423.31,4034.3,1.0
p_pred_p[70],0.04,0.01,0.03,0.06,0.0,0.0,720.47,1385.8,1.01
p_pred_p[71],0.03,0.01,0.02,0.05,0.0,0.0,717.41,1177.84,1.01
p_pred_p[72],0.03,0.01,0.02,0.04,0.0,0.0,904.27,1358.36,1.01
p_pred_p[73],0.03,0.01,0.02,0.04,0.0,0.0,5219.12,5799.58,1.0
p_pred_p[74],0.04,0.01,0.02,0.05,0.0,0.0,4823.44,6244.05,1.0
p_pred_p[75],0.05,0.01,0.03,0.07,0.0,0.0,882.68,2024.25,1.01
p_pred_p[76],0.03,0.01,0.02,0.05,0.0,0.0,692.3,1187.1,1.01
p_pred_p[77],0.02,0.0,0.01,0.03,0.0,0.0,1578.49,2481.86,1.0
