,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_age_p[50],0.04,0.01,0.02,0.05,0.0,0.0,764.23,1326.81,1.01
mu_age_p[51],0.04,0.01,0.02,0.05,0.0,0.0,744.38,1223.98,1.01
mu_age_p[52],0.04,0.01,0.02,0.05,0.0,0.0,728.53,1229.55,1.01
mu_age_p[53],0.04,0.01,0.02,0.05,0.0,0.0,716.3,1213.37,1.01
mu_age_p[54],0.04,0.01,0.02,0.05,0.0,0.0,710.13,1240.69,1.01
mu_age_p[55],0.03,0.01,0.02,0.05,0.0,0.0,710.28,1229.14,1.01
mu_age_p[56],0.03,0.01,0.02,0.05,0.0,0.0,718.5,1202.03,1.01
mu_age_p[57],0.03,0.01,0.02,0.05,0.0,0.0,735.05,1210.88,1.01
mu_age_p[58],0.03,0.01,0.02,0.05,0.0,0.0,761.95,1274.12,1.01
mu_age_p[59],0.03,0.01,0.02,0.04,0.0,0.0,801.59,1294.01,1.01
mu_age_p[60],0.03,0.01,0.02,0.04,0.0,0.0,852.0,1302.32,1.01
mu_age_p[61],0.03,0.01,0.02,0.04,0.0,0.0,837.81,1258.1,1.01
mu_age_p[62],0.03,0.01,0.02,0.04,0.0,0.0,833.25,1311.28,1.01
mu_age_p[63],0.03,0.01,0.02,0.04,0.0,0.0,840.72,1328.95,1.01
mu_age_p[64],0.03,0.01,0.02,0.04,0.0,0.0,863.2,1295.92,1.01
mu_age_p[65],0.03,0.01,0.02,0.04,0.0,0.0,904.27,1358.36,1.01
mu_age_p[66],0.03,0.01,0.02,0.04,0.0,0.0,967.53,1468.52,1.01
mu_age_p[67],0.03,0.01,0.02,0.04,0.0,0.0,1057.1,1526.2,1.01
mu_age_p[68],0.03,0.01,0.02,0.04,0.0,0.0,1174.4,1608.14,1.01
mu_age_p[69],0.03,0.01,0.01,0.04,0.0,0.0,1317.97,1683.42,1.0
mu_age_p[70],0.02,0.01,0.01,0.04,0.0,0.0,1480.92,1651.37,1.0
mu_age_p[71],0.02,0.01,0.01,0.03,0.0,0.0,1513.5,1966.98,1.0
