age,sex,mean,lower_ci,upper_ci
76,Both,0.02390592728899086,0.018621601580867602,0.030282609745820165
77,Both,0.026313080745717612,0.020559741520310117,0.033133315675459414
78,Both,0.02909731145865055,0.02257564769813831,0.03682837736674494
79,Both,0.03190418096930964,0.024442498932859196,0.04085494236487282
80,Both,0.03463819838367885,0.02624387713175355,0.044685422371179305
81,Both,0.03854084705619135,0.02961229547949094,0.049026401188982355
82,Both,0.042352743170834026,0.03264821867306379,0.05368832885911998
83,Both,0.045820890546372076,0.03504039603564445,0.058368323927325064
84,Both,0.049262959261266843,0.0373151281884743,0.0633045686572453
85,Both,0.052501503779234134,0.039283867594700095,0.06816909980768657
86,Both,0.05584612907015129,0.042333563262983945,0.07135001995529047
87,Both,0.0593752386912728,0.044970732753012825,0.07571626117111706
88,Both,0.06285527527493598,0.047190835476032464,0.08077048634768856
89,Both,0.06605515692658763,0.04900137703497809,0.08578012236886762
90,Both,0.06943200093841748,0.05066191246317423,0.09149283917095723
91,Both,0.07171988627872417,0.05265400616336681,0.0938209951538184
92,Both,0.07385471164440488,0.05403401329001104,0.09650893167277357
93,Both,0.07561581073845791,0.05488560302703939,0.09934829209239297
94,Both,0.07748827136210176,0.055571043323573314,0.10277533910073931
95,Both,0.07724489607490795,0.054442322490331055,0.1041468509260435
96,Both,0.079265629611398,0.05588669958876445,0.10651655828344625
97,Both,0.08128630853817485,0.05717986722016131,0.10951257767335905
98,Both,0.08330692397838564,0.05836205558894834,0.11300526760533401
99,Both,0.0853274588509639,0.05932852721756738,0.11690882115700571
100,Both,0.08734786067660569,0.06026622519113168,0.12112612253879726
0,Male,0.0,0.0,0.0
1,Male,0.0,0.0,0.0
2,Male,0.0,0.0,0.0
3,Male,0.0,0.0,0.0
4,Male,0.0,0.0,0.0
5,Male,0.0,0.0,0.0
6,Male,0.0,0.0,0.0
7,Male,0.0,0.0,0.0
8,Male,0.0,0.0,0.0
9,Male,0.0,0.0,0.0
10,Male,0.0,0.0,0.0
11,Male,0.0,0.0,0.0
12,Male,0.0,0.0,0.0
13,Male,0.0,0.0,0.0
14,Male,0.0,0.0,0.0
15,Male,0.0,0.0,0.0
16,Male,0.0,0.0,0.0
17,Male,0.0,0.0,0.0
18,Male,0.0,0.0,0.0
19,Male,0.0,0.0,0.0
20,Male,0.0,0.0,0.0
21,Male,0.0,0.0,0.0
22,Male,0.0,0.0,0.0
23,Male,0.0,0.0,0.0
24,Male,0.0,0.0,0.0
25,Male,0.0,0.0,0.0
26,Male,0.0,0.0,0.0
27,Male,0.0,0.0,0.0
28,Male,0.0,0.0,0.0
29,Male,0.0,0.0,0.0
30,Male,3.6439578666439276e-07,4.6623485291106863e-14,1.8216029637322294e-06
31,Male,0.00011505012272352358,2.1211317040431794e-05,0.00036426251736309444
32,Male,0.0002313152771171424,4.233095628448133e-05,0.0007348171973238665
33,Male,0.0003482648666688683,6.356148070275933e-05,0.0011069642082150275
34,Male,0.00046532744164755807,8.478302618060505e-05,0.0014783423197948604
35,Male,0.0005815541699403916,0.00010588539086946049,0.0018488123722010656
36,Male,0.0007175238386317037,0.0001692706328586919,0.001970440180046574
37,Male,0.0008517352601014286,0.0001965331145365814,0.002131216348385822
38,Male,0.0009844229718515983,0.0002168089004723251,0.0023443882671964136
39,Male,0.0011183878787831708,0.00023478081694229276,0.0026437407751110876
40,Male,0.0012559419515199566,0.00025124503310677035,0.0029953770068797264
41,Male,0.001535133253275272,0.0006098661212171654,0.0031075541382786422
42,Male,0.0018160997542920566,0.0008033180413348384,0.003233686909977422
43,Male,0.0020980742261072186,0.0009380396150345671,0.003378089633279412
44,Male,0.0023820609018598477,0.001043410244654308,0.0035939899298164644
45,Male,0.0026697010443925977,0.0011409786213967155,0.00393969051236784
46,Male,0.002864766492310548,0.0015435148813648047,0.0041181859164122194
47,Male,0.0030622337671182246,0.0018998018236671692,0.0043174270341214925
48,Male,0.0032566146067704534,0.0021928310027504606,0.00453944309890107
49,Male,0.003447263461649959,0.0023988299351625103,0.0047815940446154885
50,Male,0.003636643346222965,0.0025417864730896077,0.005035508173105408
51,Male,0.003878270782199034,0.002772563579416676,0.005290794952293958
52,Male,0.004122952193851691,0.002977150866820753,0.005580683267055197
53,Male,0.004370588900773694,0.0031697326022782973,0.005911812228259008
